SEARCH_ISIN;BBG_ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP;has_large_mkt_cap;has_large_mkt_cap;has_large_mkt_cap;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER;VOLUME_AVG_6M;CNTRY_OF_RISK;ULT_PARENT_CNTRY_OF_RISK
AU000000RIO1 ISIN;AU000000RIO1 Equity ISIN;RIO TINTO LTD;Basic Materials;Metal-Diversified;61687.57986;61687579856;1;1;1;#N/A Field Not Applicable;Common Stock;GB;USD;21.07.2016;A-;Baa1;151.2283478;GB;GB
BE0003793107 ISIN;BE0003793107 Equity ISIN;ANHEUSER-BUSCH INBEV SA/NV;Consumer, Non-cyclical;Brewery;197262.9642;1.97263E+11;1;1;1;#N/A Field Not Applicable;Common Stock;BE;USD;08.08.2016;A-;#N/A N/A;17700.62109;BE;BE
CH0011037469 ISIN;CH0011037469 Equity ISIN;SYNGENTA AG-REG;Basic Materials;Agricultural Chemicals;36295.26219;36295263315;1;0;1;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;A+     *-;A2 *-;2689.37793;CH;CH
CH0011075394 ISIN;CH0011075394 Equity ISIN;ZURICH INSURANCE GROUP AG;Financial;Multi-line Insurance;36198.1294;36198129212;1;0;1;#N/A Field Not Applicable;Common Stock;CH;USD;05.08.2016;#N/A N/A;#N/A N/A;377.0157471;CH;CH
CH0012032048 ISIN;CH0012032048 Equity ISIN;ROCHE HOLDING AG-GENUSSCHEIN;Consumer, Non-cyclical;Medical-Drugs;217356.7994;2.17357E+11;1;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;AA;A1;4084.70874;CH;CH
CH0012032113 ISIN;CH0012032113 Equity ISIN;ROCHE HOLDING AG-BR;Consumer, Non-cyclical;Medical-Drugs;217356.7994;2.17357E+11;1;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;AA;A1;42.99212646;CH;CH
CH0012221716 ISIN;CH0012221716 Equity ISIN;ABB LTD-REG;Industrial;Machinery-Electric Util;47212.78767;47212789530;1;0;1;#N/A Field Not Applicable;Common Stock;CH;USD;29.07.2016;A;A2;41369.77344;CH;CH
CH0038863350 ISIN;CH0038863350 Equity ISIN;NESTLE SA-REG;Consumer, Non-cyclical;Food-Misc/Diversified;244827.4006;2.44827E+11;1;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;AA;Aa2;31862.12695;CH;CH
CH0244767585 ISIN;CH0244767585 Equity ISIN;UBS GROUP AG-REG;Financial;Diversified Banking Inst;52171.27127;52171270531;1;1;1;#N/A Field Not Applicable;Common Stock;CH;USD;08.08.2016;A-;#N/A N/A;2893899.75;CH;CH
CNE1000001Q4 ISIN;CNE1000001Q4 Equity ISIN;CHINA CITIC BANK CORP LTD-H;Financial;Commer Banks Non-US;40606.84548;40606845483;1;0;1;#N/A Field Not Applicable;Common Stock;CN;USD;25.07.2016;#N/A N/A;#N/A N/A;190.2362213;CN;CN
CNE1000001Z5 ISIN;CNE1000001Z5 Equity ISIN;BANK OF CHINA LTD-H;Financial;Commer Banks Non-US;142091.2804;1.42091E+11;1;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;A;#N/A N/A;23234.92188;CN;CN
CNE100000205 ISIN;CNE100000205 Equity ISIN;BANK OF COMMUNICATIONS CO-H;Financial;Commer Banks Non-US;57950.00269;57950002686;1;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;27.06.2016;A-;#N/A N/A;763.779541;CN;CN
CNE1000002H1 ISIN;CNE1000002H1 Equity ISIN;CHINA CONSTRUCTION BANK-H;Financial;Commer Banks Non-US;177184.9231;1.77185E+11;1;1;1;#N/A Field Not Applicable;Common Stock;CN;USD;08.08.2016;A;#N/A N/A;19974.9375;CN;CN
