BBG ISIN;NAME;INDUSTRY_SECTOR;INDUSTRY_SUBGROUP;MKT_CAP_LAST_TRD;CUR_MKT_CAP; has_large_mkt_cap ; has_large_mkt_cap ; has_large_mkt_cap ;AMT_ISSUED;SECURITY_TYP;CNTRY_OF_DOMICILE;CRNCY;LAST_UPDATE_DT;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_MDY_ISSUER;VOLUME_AVG_6M;CNTRY_OF_RISK;ULT_PARENT_CNTRY_OF_RISK
AT0000APOST4 ISIN;OESTERREICHISCHE POST AG;Industrial;Transport-Services;2539.98;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AT;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;8.622047424;AT;AT
AU000000AOG1 ISIN;AUSTRALIAN OIL & GAS CORP;Energy;Oil-Field Services; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AU;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;AU;CA
AU000000API4 ISIN;AUSTRALIAN PHARMA INDUS LTD;Consumer, Non-cyclical;Pharmacy Services;100.37;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AU;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;AU;AU
AU000000BKL7 ISIN;BLACKMORES LTD;Consumer, Non-cyclical;Vitamins&Nutrition Prod; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AU;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;AU;AU
AU000000BSL0 ISIN;BLUESCOPE STEEL LTD;Basic Materials;Steel-Producers;3342.38;3342375855.00; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AU;USD;19.07.2016;BB;#N/A N/A;61.83464432;AU;AU
AU000000BTT1 ISIN;BT INVESTMENT MANAGEMENT LTD;Financial;Invest Mgmnt/Advis Serv; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AU;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;AU;AU
AU000000EWC5 ISIN;ENERGY WORLD CORP LTD;Utilities;Electric-Generation;220.02;#N/A N/A; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AU;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;420.9370117;AU;AU
AU000000FDC2 ISIN;FEDERATION CENTRES;Financial;REITS-Shopping Centers; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;REIT;AU;AUD;#N/A Field Not Applicable;A-;#N/A N/A;#N/A N/A;AU;AU
AU000000JBH7 ISIN;JB HI-FI LTD;Consumer, Cyclical;Retail-Consumer Electron; #N/A N/A ; #N/A N/A ; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AU;USD;#N/A Field Not Applicable;#N/A N/A;#N/A N/A;#N/A N/A;AU;AU
AU000000KAR6 ISIN;KAROON GAS AUSTRALIA LTD;Energy;Oil Comp-Explor&Prodtn;237.06;237061512.07; -   ; -   ; -   ;#N/A Field Not Applicable;Common Stock;AU;USD;05.08.2016;#N/A N/A;#N/A N/A;431.881897;AU;AU
