SBER RX Equity,,,AAL UW Equity,,,TSLA UW Equity,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
10/15/14,73.08,,10/15/14,31.69,,10/15/14,229.7
10/16/14,71.12,,10/16/14,32.97,,10/16/14,226.35
10/17/14,73.15,,10/17/14,33.38,,10/17/14,227.48
10/20/14,72.25,,10/20/14,35.22,,10/20/14,230.47
10/21/14,72.5,,10/21/14,37.85,,10/21/14,235.34
10/22/14,71.82,,10/22/14,37.04,,10/22/14,231.1
10/23/14,71.59,,10/23/14,38.48,,10/23/14,235.29
10/24/14,72.49,,10/24/14,39.82,,10/24/14,235.24
10/27/14,72.9,,10/27/14,39.91,,10/27/14,221.67
10/28/14,73.9,,10/28/14,40.24,,10/28/14,242.77
10/29/14,74.05,,10/29/14,39.94,,10/29/14,238.1
10/30/14,74.98,,10/30/14,40.3,,10/30/14,238.66
10/31/14,76.23,,10/31/14,41.35,,10/31/14,241.7
11/3/14,76.29,,11/3/14,42,,11/3/14,242.59
11/5/14,75.65,,11/5/14,42.25,,11/5/14,230.97
11/6/14,75.05,,11/6/14,43.14,,11/6/14,241.22
11/7/14,75.69,,11/7/14,43.2,,11/7/14,240.2
11/10/14,77.78,,11/10/14,43.83,,11/10/14,241.93
11/11/14,77.34,,11/11/14,43.44,,11/11/14,251.08
11/12/14,76.32,,11/12/14,43.43,,11/12/14,249.1
11/13/14,74.03,,11/13/14,44.12,,11/13/14,251.7
11/14/14,74.15,,11/14/14,44.01,,11/14/14,258.68
11/17/14,73.97,,11/17/14,43.69,,11/17/14,253.98
11/18/14,75.21,,11/18/14,45.05,,11/18/14,257.7
11/19/14,73.9,,11/19/14,44.1,,11/19/14,247.74
11/20/14,73.63,,11/20/14,44.16,,11/20/14,248.71
11/21/14,74.39,,11/21/14,43.31,,11/21/14,242.78
11/24/14,74.4,,11/24/14,43.21,,11/24/14,246.72
11/25/14,74.11,,11/25/14,44.15,,11/25/14,248.09
11/26/14,73.85,,11/26/14,44.97,,11/26/14,248.44
11/27/14,73.04,,11/28/14,48.53,,11/28/14,244.52
11/28/14,72.25,,12/1/14,47.88,,12/1/14,231.64
12/1/14,73.79,,12/2/14,47.86,,12/2/14,231.43
12/2/14,71.64,,12/3/14,48.24,,12/3/14,229.3
12/3/14,72,,12/4/14,49.65,,12/4/14,228.28
12/4/14,71.04,,12/5/14,51.01,,12/5/14,223.71
12/5/14,68.6,,12/8/14,50.82,,12/8/14,214.36
12/8/14,65.3,,12/9/14,48.31,,12/9/14,216.89
12/9/14,66.26,,12/10/14,48.94,,12/10/14,209.84
12/10/14,67.77,,12/11/14,50.53,,12/11/14,208.88
12/11/14,65.95,,12/12/14,49.97,,12/12/14,207
12/12/14,64.2,,12/15/14,50.84,,12/15/14,204.04
12/15/14,60.63,,12/16/14,47.96,,12/16/14,197.81
12/16/14,53.5,,12/17/14,48.8,,12/17/14,205.82
12/17/14,59.9,,12/18/14,50.14,,12/18/14,218.26
12/18/14,62.91,,12/19/14,50.71,,12/19/14,219.29
12/19/14,61.44,,12/22/14,50.84,,12/22/14,222.6
12/22/14,58.6,,12/23/14,50.21,,12/23/14,220.97
12/23/14,54,,12/24/14,51.43,,12/24/14,222.26
12/24/14,55,,12/26/14,51.955,,12/26/14,227.82
12/25/14,58.7,,12/29/14,52.85,,12/29/14,225.71
12/26/14,57.13,,12/30/14,53.42,,12/30/14,222.23
12/29/14,54.51,,12/31/14,53.63,,12/31/14,222.41
12/30/14,54.9,,1/2/15,53.91,,1/2/15,219.31
1/5/15,56.37,,1/5/15,53.875,,1/5/15,210.09
1/6/15,58.28,,1/6/15,53.04,,1/6/15,211.28
1/8/15,65.7,,1/7/15,53.01,,1/7/15,210.95
